,Material,Temperature C,Density kg/m3,Heat Capacity J/(kg K),Thermal Conductivity W/(m K),Thermal diffusivity (1e6),Heat permeability,Absorption,Emissivity
0,aluminum,20,2700,945,238.0,93.4,24700,0.525,0.25
1,beryllium,20,1848,1780,180.0,54.7,24300,0.92,0.72
2,bronze,20,8800,377,61.7,18.6,14300,0.0,0.0
3,vanadium,50,6120,498,31.0,10.2,9720,0.0,0.0
4,bismuth,20,9800,129,8.4,6.6,3260,0.0,0.0
5,tungsten,20,19000,138,174.0,66.4,21360,0.0,0.0
6,gallium,20,5910,371,41.0,18.7,9480,0.0,0.0
7,duralumin,20,2790,912,165.0,64.8,20490,0.0,0.0
8,iron,20,7870,456,75.0,20.9,16400,1.0,0.95
9,gold,20,19290,128,310.0,125.0,27700,0.09,0.03
10,iridium,20,22400,133,147.0,49.3,20900,0.0,0.0
11,indium,20,7280,239,81.8,47.0,11930,0.0,0.0
12,cadmium,100,8640,246,94.2,44.3,14100,0.0,0.0
13,potassium,20,860,760,100.0,153.0,8100,0.13,0.92
14,cobalt,20,8780,427,69.1,18.4,16100,0.93,0.3
15,constantan,20,8900,410,22.6,6.19,9080,0.0,0.0
16,lithium,20,534,3570,85.0,44.5,12730,0.0,0.0
17,magnesium,20,1740,1050,159.0,87.0,37190,0.09,0.9
18,copper,20,8960,385,401.0,116.0,37190,0.525,0.25
19,copper,20,8300,419,386.0,111.0,36640,0.525,0.25
20,molybdenum,20,10200,272,147.0,53.0,20200,0.0,0.0
21,sodium,20,970,1234,130.0,112.0,12700,0.15,0.92
22,nickel,20,8900,450,92.0,23.0,19200,0.08,0.15
23,niobium,20,8570,267,52.3,22.9,10900,0.0,0.0
24,nichrome,20,8400,440,13.0,3.5,6930,0.0,0.0
25,"(80 ni, 20 cr)",700,8130,615,24.0,4.8,10950,0.0,0.0
26,tin,20,7290,221,62.8,39.0,10100,0.0,0.0
27,palladium,20,11970,242,71.2,24.6,14400,0.0,0.0
28,platinum,20,21500,133,71.2,24.9,14300,0.0,0.0
29,plutonium,20,19840,130,6.7,2.6,4170,0.0,0.0
30,rhenium,20,21020,138,48.1,16.6,11800,0.0,0.0
31,rhodium,20,12500,246,151.0,49.1,21500,0.0,0.0
32,lead,20,11340,127,35.0,24.3,7100,0.0,0.0
33,argentum,20,10497,234,418.0,170.0,32040,0.0,0.0
34,carbon steel,20,7860,483,52.0,13.7,14050,0.0,0.0
35,austenitic steel,20,7900,470,14.5,3.9,7340,0.0,0.0
36,low alloyed pearlitic steel,20,7800,486,10.6,10.6,12300,0.0,0.0
37,tantalum,20,16500,142,57.5,24.5,11600,0.0,0.0
38,titanium,20,4500,522,21.9,9.32,7170,0.17,0.92
39,thorium,25,11720,118,37.0,26.7,7150,0.0,0.0
40,uranium,500,18600,174,30.0,9.26,9850,0.0,0.0
41,chromium,20,7100,474,88.6,26.3,17300,0.0,0.0
42,cesium,20,1870,242,35.9,79.3,4030,0.0,0.0
43,zinc,20,7130,385,113.0,41.2,17600,0.13,0.92
44,zirconium,70,6500,290,22.7,12.0,6540,0.23,0.88
